AUDIT 10 — TRADER OUTPUT & DISPLAY COMPLIANCE AUDIT

SECTION 1 — DISPLAY INVENTORY
There are 7 dashboard tables total: Panel A (Command Center, top_right), Panel B (Belief Distributions, bottom_right), Panel C (Intelligence Engine, middle_left), Panel P3 (Recursive Wave Intel, bottom_center), Panel FU (FU Order Blocks, middle_right), ERF Panel (embedded in Panel C), FRZ Panel (Recursive Future Return, bottom_left). Total distinct fields: 95.
PANEL A — Command Center
Field	Variable	Source	Visible	Advanced	Unused	Deprecated
Unused/Duplicate Fields: At least 9 confirmed duplicates across panels — HTF Interp vs L0 Phase, Expected Next/Probability (Panel A vs Panel C), Physics Consensus (Panel B vs Panel C), Active FU Blocks (Panel C vs Panel FU), Narrative (Panel C vs Panel A), Primary Wave (P3 vs Panel A), Grandchild/L0 (P3 vs Panel A), Active Phase (P3 vs Panel A), Capacity/Capacity Score (P3 vs Panel B), Energy State (ERF panel vs Panel A), Resolution State (ERF panel vs Panel A), Fractal Conf (left column vs right column within same P3 panel).
Misclassified Fields: "Live edge" in Panel C functions as a second, competing recommended-action field alongside "ACTION" in Panel A and "Exec Directive" in Panel P3 — three different sub-systems independently producing a directive-style string, none of which references the other two, risking contradictory signals shown simultaneously.
Trader Confusion Sources:
1. Three independent "what should I do" strings (directiveStr, liveDirective, execDirective) that can disagree with each other since they're computed from different logic paths.
2. 12 duplicate fields shown in multiple panels with different formatting/coloring.
3. No Entry/Target/Stop price anywhere — trader gets a directional/quality signal with no execution parameters.
4. FRZ zones sorted by recency, not by score — a high-quality zone can scroll off-screen.
5. No Advanced Mode separation — all 95 fields visible simultaneously at all times, with internal architecture concepts (Rotation Suppression, Consensus, Control Transfer) sitting alongside actionable fields with no visual hierarchy distinguishing them.
Dashboard Completeness %: ~45% (high diagnostic completeness, near-zero execution-field completeness)
Decision Readiness %: ~35% (Bias/Narrative/Action/Confidence/Quality present; Entry/Targets/Invalidation entirely absent; Trade Type only partially present)
ERF Display Readiness %: ~70% (10 of 12 ERF outputs reach the dashboard in some form; Extended Attractor doesn't exist, Secondary Attractor and Delivery State are calculated but never shown)
FRZ Display Readiness %: ~65% (registry, score, strength, status all shown; Confidence and Distance fields never built; Primary FRZ not distinctly promoted)
Attractor Display Readiness %: ~40% (Primary partially shown — label/score only, no price; Secondary built but invisible; Extended never built)
Overall Trader Usability Score: ~48% — a comprehensive and architecturally sound diagnostic engine undermined by the complete absence of Entry/Target/Invalidation price output, three competing directive strings, ~12 duplicated fields across panels, and no Advanced Mode gating to separate internal-architecture data from trading-relevant data.
